"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","W4Efsd 5"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"https://www.google.com/maps/place/IIT+Kanpur+Metro+Station+%E0%A4%86%E0%A4%88%E0%A4%86%E0%A4%88%E0%A4%9F%E0%A5%80+%E0%A4%95%E0%A4%BE%E0%A4%A8%E0%A4%AA%E0%A5%81%E0%A4%B0+%E0%A4%AE%E0%A5%87%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A5%8B+%E0%A4%B8%E0%A5%8D%E0%A4%9F%E0%A5%87%E0%A4%B6%E0%A4%A8/data=!4m7!3m6!1s0x399c37005a83bc37:0x85a2f79d0f7de7e4!8m2!3d26.5092451!4d80.248224!16s%2Fg%2F11x164jpwn!19sChIJN7yDWgA3nDkR5Od9D533ooU?authuser=0&hl=en&rclk=1","IIT Kanpur Metro Station आईआईटी कानपुर मेट्रो स्टेशन","4.8","(16)","Metropolitan train company","·","","·","NH 34, Nankari","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Good service""",""
"https://www.google.com/maps/place/Motijheel+Metro+Station/data=!4m7!3m6!1s0x399c392a791312a1:0x7a4b12381900732e!8m2!3d26.4793793!4d80.3194098!16s%2Fg%2F11qqpcwffm!19sChIJoRITeSo5nDkRLnMAGTgSS3o?authuser=0&hl=en&rclk=1","Motijheel Metro Station","4.6","(1,438)","Metropolitan train company","·","","·","112/323, Benajhabar Rd","","Website","","On-site services","Open"
"https://www.google.com/maps/place/Kalyanpur+metro+station/data=!4m7!3m6!1s0x399c374d0de54009:0x47260f550d07da41!8m2!3d26.5035126!4d80.2526633!16s%2Fg%2F11rqq72szj!19sChIJCUDlDU03nDkRQdoHDVUPJkc?authuser=0&hl=en&rclk=1","Kalyanpur metro station","4.5","(388)","Metropolitan train company","·","","·","metro station, Bithoor Rd","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Best facilities of metro 🚇 , stair automatic removable and clean area""","Open"
"https://www.google.com/maps/place/IIT+Kanpur/data=!4m7!3m6!1s0x399c37a7579833f3:0x734899e0489710a0!8m2!3d26.50924!4d80.24824!16s%2Fg%2F11ptn5hsfv!19sChIJ8zOYV6c3nDkRoBCXSOCZSHM?authuser=0&hl=en&rclk=1","IIT Kanpur","4.7","(39)","Subway station","·","","","","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Security staff is always available covering all areas of station.""",""
"https://www.google.com/maps/place/Rawatpur+Metro+Station/data=!4m7!3m6!1s0x399c39bcbcc48337:0x44272ed07736e764!8m2!3d26.4829232!4d80.2998924!16s%2Fg%2F11n18sd7rh!19sChIJN4PEvLw5nDkRZOc2d9AuJ0Q?authuser=0&hl=en&rclk=1","Rawatpur Metro Station","4.5","(573)","Transportation service","·","","·","F7MX+5X6","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Metro station is the only clean and tidy place in Kanpur""","Open"
"https://www.google.com/maps/place/Vishwavidyalaya/data=!4m7!3m6!1s0x399c37902332f8fd:0x10ee43e24c5771cc!8m2!3d26.497146!4d80.264898!16s%2Fg%2F11sm8lv9f7!19sChIJ_fgyI5A3nDkRzHFXTOJD7hA?authuser=0&hl=en&rclk=1","Vishwavidyalaya","4.7","(13)","Subway station","·","","","","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nice facility here👍""",""
"https://www.google.com/maps/place/Gurudev+Metro+Station/data=!4m7!3m6!1s0x399c39f0fe26a623:0x9542fd68790acd2!8m2!3d26.4915384!4d80.2845451!16s%2Fg%2F11kwjhtyr7!19sChIJI6Ym_vA5nDkR0qyQh9YvVAk?authuser=0&hl=en&rclk=1","Gurudev Metro Station","4.5","(845)","Metropolitan train company","·","","·","51, GT Rd","","Directions","","On-site services","Open"
"https://www.google.com/maps/place/SPM+HOSPITAL+Metro+station/data=!4m7!3m6!1s0x399c37106d7ee947:0x77369bc2178d5208!8m2!3d26.498804!4d80.259112!16s%2Fg%2F11nx0sphk9!19sChIJR-l-bRA3nDkRCFKNF8KbNnc?authuser=0&hl=en&rclk=1","SPM HOSPITAL Metro station","4.4","(95)","Transportation service","·","","·","F7X5+GJH","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""... have installed elevator and power stairs at one side of the station.""","Open"
